Periodo,Total nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2000,100.0,0.8483786709385723,4.932627923323869,0.4218786688045373,17.478083056643438,4.5528312362052175,0.4785391397284344,1.7563993511438571,3.4138806083077067,6.229441156588861,0.953608249864726,2.838364755762195,0.5153180891990025,1.4449510258724516,6.36251169190721,8.18054632316664,1.4705434788900382,1.0948232727523945,0.2758206582457485,6.206342346853195,1.109587134007521,2.680340647207277,1.9429831851217234,0.3893105130514765,1.6965509968027297,1.6204691980168087,4.633455756617536,6.066856611094172,3.4887511012491936,0.8475426657113754,4.721847057935771,0.8715708267485608,0.4758447086999745
2001,100.0,0.92475588042809,4.375557302911312,0.5020208532601049,19.278125554854856,4.622244733138898,0.4658870409260622,1.7533379148194372,3.1087814474903595,6.345582679192861,1.037902684119649,2.821750259268932,0.5993260338975349,1.4423930606632616,5.997433584230382,8.011187471019564,1.3616711081154758,1.1774003784311953,0.30844818178089584,6.263472315069149,1.1316838422612747,2.781883824214384,1.9433997332837918,0.4301371897068583,1.631496053843506,1.3691681344526634,4.317774082888704,5.916688122526521,3.1865428571851053,0.9101000983883649,4.541294959454545,0.9048958024974971,0.5376568374464996
2002,100.0,0.9825204771130602,4.054023075624439,0.4612525980068926,20.115936134414916,5.033548658424334,0.4785084454984249,1.7938231716534587,3.0253647925795937,6.610276755565522,1.0366605356307483,3.098553334530049,0.6385544033136749,1.4420581646377,5.858138848361684,7.700191562360685,1.3323128442457566,1.0980407526975082,0.2957005306654772,6.410514060607466,1.2140598458351786,2.726558359645175,1.8433095592016642,0.3981747526042896,1.6202701998219604,1.1867980775708962,3.8421472977277085,5.4750968691323445,3.3752044093657743,0.8703790379512154,4.516339851631434,0.8587897896881879,0.6068928922925062
2003,100.0,0.9539705707968751,3.7288356842182075,0.47100180901939087,21.44277698492075,5.247110100280698,0.4200022724181722,1.7764010881971568,3.0391693645922517,6.250254502517626,1.0882804881148331,3.243833030642139,0.6081219853291923,1.4133675276012294,5.5658259032881245,7.23446571350357,1.366497583398571,1.1553823902376947,0.2783512677275097,6.596769194010384,1.1938377372107942,2.786757726219078,1.797625049146521,0.39296176880440414,1.6683942689967206,1.1826035640618464,3.343755840657544,5.35465643739546,3.4735034388138892,0.7924735331335342,4.59736112513024,0.8943575021028837,0.6412945475126959
2004,100.0,0.97347881508037,3.870014897132553,0.4887486670954717,20.825828038460273,5.132848690304879,0.37738918146109973,1.436596188142681,3.103704509639537,6.223337276111148,1.0603600962136817,3.205488186885179,0.6426650612130429,1.5527970604973216,5.387282245265808,7.048285737709044,1.4101355228573786,1.088226740253277,0.43122729558424894,6.753916534939204,1.179993637057898,2.7127360364312856,1.8853041871965563,0.42682188294024276,1.7418991012903204,1.2932719063342335,3.511482033622601,5.382725115818113,3.5564492630972744,0.8892740651261216,4.810235381289163,0.884173703781886,0.7133029411680915
2005,100.0,0.9745167976960034,3.799061508370171,0.476800556557453,19.911161805797516,5.049072576467619,0.3473379634361846,1.3879410167823296,3.1408565235663612,6.133253287422291,0.9746890886571102,3.1336226369890365,0.6431538871903003,1.4539542493979807,5.536396126929656,6.971243746838161,1.3816778636643399,1.2447884164515606,0.4507991973766618,7.017687461309206,1.1095244124446886,3.0127510083694946,1.985568266282087,0.516211827304938,1.8070634482353736,1.202109288141268,3.6796253852738903,5.784898958807153,3.899659326314812,0.6348399066125016,4.7116532988465565,0.9377226872443609,0.6903574752229364
2006,100.0,1.0429876440897685,3.939436688015356,0.48992267543483353,18.589483930039048,5.114761788332238,0.3632473472494754,1.4378846008577182,3.2964777226199455,6.474332778518195,0.9444180599890146,3.2243820664361795,0.6625651180997432,1.3776991462655201,5.6877352995673425,6.8544199252161135,1.3759899484873919,1.0714127052775075,0.41392492964922434,7.253331701808132,1.0731684381857378,3.0478356271531104,1.9815666560388059,0.5474835644172347,1.8208246636243013,1.1715438801615405,3.929098536306862,5.904619537764819,3.855387932202894,0.5209737374095971,4.874139030693442,0.9832900711150682,0.675654248973825
2007,100.0,1.1868989499785865,3.8952128941703323,0.6155943490625911,17.118134241728693,5.30662821302457,0.40702378320606125,1.3505252182800238,3.374129873501023,6.2151985617628425,0.9492127010484535,3.1810495635989438,0.7216310805264039,1.443917976627353,5.79632087357491,6.855056645602255,1.4380570693054402,1.0815818293786714,0.40082062146157543,7.650663302180634,1.0604746270805843,3.18137635131625,2.019315527472392,0.5426203298342375,1.8093142913787619,1.2856546422808024,3.8686644698966224,5.975872121333844,3.953089305275528,0.5337263314835516,5.029151605178365,1.0228569896237798,0.7302256598259022
2008,100.0,1.1418393566295633,3.83496115886834,0.6878967683494014,15.656895083292518,5.257337808087715,0.4096712505527554,1.470129193153981,3.400709898650668,6.0428572163143155,0.9751974865390383,3.2874980749974614,0.7863152964266891,1.4938099233692879,5.656115652648522,6.860521105756579,1.437243196668764,1.1214595278890966,0.4514788763842173,7.70095817781435,1.1474409693251708,3.222695207659671,2.0199218677130775,0.5775597017730197,1.8941179269252855,1.4427618325713918,3.8164608578407413,6.372607090045881,4.327767694965482,0.5695686724167478,5.005346461517955,1.0170997039458898,0.9137569609064301
2009,100.0,1.1853002993967643,3.376670432186571,0.8054611790702733,15.141063153450684,4.254693732041619,0.43854777627088176,1.6121089998054512,3.230654698725758,6.331933030352957,1.0541865018364232,3.3478663504565214,0.7790397211220682,1.4866156224480724,5.619584413356965,6.863251899644114,1.2934219678883754,1.292007197916594,0.4306392857458542,7.69972844331458,1.2983391307767336,2.9835594018613154,2.1136409973439023,0.5643069841697747,1.9408804220385762,1.5064983384386894,3.700406393323332,7.456846392447551,4.043790878296841,0.6211560390929654,5.307884294881906,1.1157713148779267,1.1041447074199615
